,imdb_id,director_id
507,tt0032903,266
508,tt0032904,185
509,tt0032910,267
510,tt0032910,268
511,tt0032976,54
512,tt0032981,174
513,tt0032993,269
514,tt0033021,116
515,tt0033028,116
516,tt0033029,245
517,tt0033045,13
518,tt0033107,270
519,tt0033149,38
520,tt0033152,271
521,tt0033152,272
522,tt0033226,116
523,tt0033253,191
524,tt0033357,273
525,tt0033373,126
526,tt0033388,71
527,tt0033397,263
528,tt0033403,223
529,tt0033403,274
530,tt0033404,223
531,tt0033406,275
532,tt0033409,222
533,tt0033432,172
534,tt0033436,250
535,tt0033467,276
536,tt0033477,101
537,tt0033530,277
538,tt0033532,175
539,tt0033553,206
540,tt0033563,278
541,tt0033563,279
542,tt0033577,231
543,tt0033577,127
544,tt0033582,74
545,tt0033627,280
546,tt0033660,281
547,tt0033704,245
548,tt0033717,38
549,tt0033723,250
550,tt0033727,282
551,tt0033727,283
552,tt0033740,189
553,tt0033754,250
554,tt0033760,284
555,tt0033766,285
556,tt0033781,250
557,tt0033781,286
558,tt0033787,287
559,tt0033804,252
560,tt0033852,93
561,tt0033870,288
562,tt0033871,289
563,tt0033873,24
564,tt0033874,172
565,tt0033891,109
566,tt0033922,54
567,tt0033945,30
568,tt0033987,222
569,tt0034055,247
570,tt0034064,284
571,tt0034076,290
572,tt0034078,129
573,tt0034078,291
574,tt0034091,230
575,tt0034091,292
576,tt0034116,269
577,tt0034162,116
578,tt0034167,126
579,tt0034172,129
580,tt0034240,252
581,tt0034248,54
582,tt0034277,38
583,tt0034297,55
584,tt0034398,293
585,tt0034399,185
586,tt0034409,237
587,tt0034415,294
588,tt0034415,295
589,tt0034428,288
590,tt0034428,296
591,tt0034455,297
592,tt0034492,259
593,tt0034492,260
594,tt0034513,168
595,tt0034521,225
596,tt0034522,298
597,tt0034525,223
598,tt0034526,223
599,tt0034527,223
600,tt0034540,183
601,tt0034570,299
602,tt0034578,116
603,tt0034583,116
604,tt0034586,151
605,tt0034587,300
606,tt0034591,130
607,tt0034613,301
608,tt0034681,151
609,tt0034734,302
610,tt0034740,79
611,tt0034742,303
612,tt0034746,232
613,tt0034786,141
614,tt0034798,304
615,tt0034815,305
616,tt0034862,157
617,tt0034881,104
618,tt0034891,306
619,tt0034891,307
620,tt0034902,224
621,tt0034922,226
622,tt0034922,308
623,tt0034928,236
624,tt0034936,185
625,tt0034959,74
626,tt0034973,301
627,tt0035015,276
628,tt0035015,309
629,tt0035034,38
630,tt0035092,225
631,tt0035093,191
632,tt0035096,162
633,tt0035105,310
634,tt0035140,311
635,tt0035160,312
636,tt0035169,252
637,tt0035173,141
638,tt0035211,208
639,tt0035218,30
640,tt0035238,91
641,tt0035250,313
642,tt0035252,250
643,tt0035262,46
644,tt0035279,54
645,tt0035317,153
646,tt0035318,314
647,tt0035415,215
648,tt0035417,203
649,tt0035423,315
650,tt0035429,316
651,tt0035432,173
652,tt0035446,13
653,tt0035453,152
654,tt0035489,317
655,tt0035567,203
656,tt0035575,116
657,tt0035582,318
658,tt0035605,209
659,tt0035608,137
660,tt0035608,319
661,tt0035616,126
662,tt0035659,38
663,tt0035753,320
664,tt0035764,30
665,tt0035799,321
666,tt0035860,322
667,tt0035895,223
668,tt0035896,208
669,tt0035899,153
670,tt0035958,132
671,tt0035966,24
672,tt0035979,13
673,tt0035980,310
674,tt0035980,323
675,tt0035982,189
676,tt0036004,324
677,tt0036004,325
678,tt0036027,300
679,tt0036049,223
680,tt0036051,326
681,tt0036073,301
682,tt0036098,327
683,tt0036104,300
684,tt0036112,280
685,tt0036112,328
686,tt0036182,329
687,tt0036191,330
688,tt0036208,174
689,tt0036241,89
690,tt0036241,331
691,tt0036244,62
692,tt0036261,250
693,tt0036277,332
694,tt0036307,333
695,tt0036323,236
696,tt0036341,334
697,tt0036342,54
698,tt0036376,79
699,tt0036443,335
700,tt0036443,336
701,tt0036449,317
702,tt0036573,337
703,tt0036613,109
704,tt0036641,338
705,tt0036695,280
706,tt0036695,328
707,tt0036696,313
708,tt0036696,339
709,tt0036711,79
710,tt0036719,340
711,tt0036723,163
712,tt0036733,341
713,tt0036733,342
714,tt0036775,343
715,tt0036807,300
716,tt0036818,344
717,tt0036824,211
718,tt0036832,122
719,tt0036832,345
720,tt0036855,185
721,tt0036868,191
722,tt0036872,135
723,tt0036882,346
724,tt0036910,347
725,tt0036931,141
726,tt0036940,175
727,tt0036940,158
728,tt0036947,348
729,tt0036959,349
730,tt0036962,104
731,tt0036969,198
732,tt0036983,350
